ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Lập Trình Java Căn Bản ( Tặng Kèm Sổ Tay),N/A,92150,44,3,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/b5/18/13/10dd5027458ca3ecfc6ef7c9e4e6cb6a.jpg
Lập trình hướng đối tượng JAVA core dành cho người mới bắt đầu học lập trình,N/A,289000,1560,222,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/5c/1d/ed/ad299b78f8a5289406ab1936faf066f4.jpg
Sách A-Z Kiến Thức Nghề Lập Trình Cho Người Mới Bắt Đầu,N/A,149000,10,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/5d/c6/b1/3c5dcf21a2900e9da86ad84d89472c72.png
Lập Trình Hệ Thống Nhúng Với RASPBERRY,"PHẠM QUANG HUY, NGUYỄN TẤT BẢO THIỆN",126400,57,11,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/32/b0/a6/4a2fca8aa7e555ce874d50fc31c2092e.jpg
Lời giải bài tập Python cơ bản,BÙI VIỆT HÀ,75000,1536,289,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/76/5e/56/f2113a7e987e7a910410370e09187b3c.jpg
Combo Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao + Giáo Trình C++ Và Lập Trình Hướng Đối Tượng (2 quyển),.,272000,22,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/a2/98/5b/629906f7cf056ee4c0de28f7dec0fc14.jpg
Python nâng cao,BÙI VIỆT HÀ,190000,321,41,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/bb/a3/48/a085de0a37e1e1c06947efb6e7208889.png
Nhập môn thuật toán,BÙI VIỆT HÀ,215000,357,50,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/c1/f0/5b/7dafc5262657832cdd11aa46b32ba027.jpg
Những Nguyên Tắc Sống Còn Trong Lập Trình,TẠ VĂN DŨNG,176000,30,2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/6d/fc/86/a8e4fd9f0d715f0660daf9064b1669f4.jpg
Làm Chủ Các Mẫu Thiết Kế Kinh Điển Trong Lập Trình (Mastering Design Patterns),TẠ VĂN DŨNG,176000,116,8,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/93/94/4d/3097795c912091d56410d83e401cb182.jpg
"Sách - Sổ tay ""dân IT"" Lập trình web + Lập trình ứng dụng từ cơ bản đến chuyên sâu",N/A,149000,14,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b9/09/c2/68ccb9542d4ef74da21f5019505a6e6f.png
Sách Sổ Tay Khoa Học Máy Tính Và Mã Hóa ( Sách Tham Khảo THPT ) - Tổng Hợp Kiến Thức Khoa Học Máy Tính Và Lập Trình - Á Châu Books,NHIEU TAC GIA,323680,42,10,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/f2/1f/38/ef514b97fa2c5762f41efd4219d8437a.jpg
Sách Bài tập Nâng Cao Scratch 3 - Hành Trang Cho Tương Lai,NGUYỄN HỮU HƯNG (CHỦ BIÊN),190000,111,15,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/45/a6/8e/a381b6c29d3ba36f6e5aca6a4531da76.jpg
Python Và Ứng Dụng Lập Trình Web (STK),N/A,159120,3,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/14/d7/bb/1f42872d8ecaaf77236f37ecd739e1a7.jpg
Revit Toàn Tập (Lý Thuyết-Thực Hành),"PHẠM QUANG HUY, TRẦN TƯỜNG THỤY",148750,32,7,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/09/8e/42/951e1fc21b98376f48418e2fe800bb38.jpg
Lập Trình Arduino Với IoT-Hệ Vạn Vật Kết Nối,.,145000,43,13,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/f5/d3/e4/745825bb53985a428548fe38042b41e1.jpg
Lập Trình Web Với Python,NHIEU TAC GIA,164900,9,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/4f/32/c9/22edde53305e95eeadd16d7d42c9f9dd.jpg
Giáo Trình NGÔN NGỮ LẬP TRÌNH C++,N/A,108000,24,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/af/18/25/5feade5a046b21c4ad640655b56a6938.jpg
Sách Coding 4 Lập trình với Scratch 3 (Dành cho học sinh lớp 4),NGUYỄN HỮU HƯNG (CHỦ BIÊN),168000,107,13,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/33/24/72/093f5f54a0b5654b27a6387e8627da64.jpg
